Distance Squared = 5.619825, compared to 6.091024
Distance Squared = 6.034987, compared to 6.091024
Distance Squared = 1.902912, compared to 6.091024
Distance Squared = 1.652086, compared to 6.091024
Distance Squared = 5.642303, compared to 6.091024
Distance Squared = 4.001220, compared to 6.091024
Distance Squared = 5.727264, compared to 6.091024
Distance Squared = 4.346327, compared to 6.091024
Distance Squared = 0.820026, compared to 6.091024
Distance Squared = 0.432569, compared to 6.091024
Distance Squared = 0.623150, compared to 6.091024
Distance Squared = 0.712948, compared to 6.091024
Distance Squared = 4.387092, compared to 6.091024
Distance Squared = 0.221213, compared to 6.091024
Distance Squared = 0.845438, compared to 6.091024
Distance Squared = 0.848137, compared to 6.091024
Distance Squared = 0.519689, compared to 6.091024
Distance Squared = 2.535498, compared to 6.091024
Distance Squared = 4.344030, compared to 6.091024
Distance Squared = 4.011876, compared to 6.091024
Distance Squared = 3.858547, compared to 6.091024
Distance Squared = 1.690082, compared to 6.091024
Distance Squared = 0.259236, compared to 6.091024
Distance Squared = 3.468854, compared to 6.091024
Distance Squared = 1.202978, compared to 6.091024
Distance Squared = 4.687441, compared to 6.091024
Distance Squared = 3.331268, compared to 6.091024
Distance Squared = 2.571909, compared to 6.091024
Distance Squared = 4.129445, compared to 6.091024
Distance Squared = 4.878685, compared to 6.091024
Distance Squared = 1.471724, compared to 6.091024
Distance Squared = 1.851038, compared to 6.091024
Distance Squared = 3.289663, compared to 6.091024
Distance Squared = 3.381968, compared to 6.091024
Distance Squared = 5.866290, compared to 6.091024
Distance Squared = 1.738629, compared to 6.091024
Distance Squared = 3.881610, compared to 6.091024
Distance Squared = 4.407672, compared to 6.091024
Distance Squared = 0.238062, compared to 6.091024
Distance Squared = 1.377443, compared to 6.091024
Distance Squared = 0.415026, compared to 6.091024
Distance Squared = 4.357558, compared to 6.091024
Distance Squared = 1.885817, compared to 6.091024
Distance Squared = 3.560172, compared to 6.091024
Distance Squared = 0.594705, compared to 6.091024
Distance Squared = 4.734369, compared to 6.091024
Distance Squared = 1.840610, compared to 6.091024
Distance Squared = 1.249895, compared to 6.091024
Distance Squared = 5.218955, compared to 6.091024
Distance Squared = 0.814583, compared to 6.091024
Distance Squared = 0.068697, compared to 6.091024
Distance Squared = 5.601800, compared to 6.091024
Distance Squared = 3.507639, compared to 6.091024
Distance Squared = 2.251985, compared to 6.091024
Distance Squared = 1.497649, compared to 6.091024
Distance Squared = 1.574357, compared to 6.091024
Distance Squared = 2.433778, compared to 6.091024
Distance Squared = 5.437441, compared to 6.091024
Distance Squared = 4.533353, compared to 6.091024
Distance Squared = 1.968340, compared to 6.091024
Distance Squared = 1.862306, compared to 6.091024
Distance Squared = 5.042049, compared to 6.091024
Distance Squared = 0.569867, compared to 6.091024
Distance Squared = 5.878771, compared to 6.091024
Distance Squared = 3.790227, compared to 6.091024
Distance Squared = 3.725050, compared to 6.091024
Distance Squared = 0.441542, compared to 6.091024
Distance Squared = 2.251230, compared to 6.091024
Distance Squared = 1.178216, compared to 6.091024
Distance Squared = 3.936411, compared to 6.091024
Distance Squared = 5.664524, compared to 6.091024
Distance Squared = 1.660895, compared to 6.091024
Distance Squared = 2.447234, compared to 6.091024
Distance Squared = 2.626430, compared to 6.091024
Distance Squared = 5.226781, compared to 6.091024
Distance Squared = 4.183425, compared to 6.091024
Distance Squared = 3.337102, compared to 6.091024
Distance Squared = 5.058705, compared to 6.091024
Distance Squared = 1.047461, compared to 6.091024
Distance Squared = 0.678798, compared to 6.091024
Distance Squared = 3.972319, compared to 6.091024
Distance Squared = 1.695408, compared to 6.091024
Distance Squared = 3.389462, compared to 6.091024
Distance Squared = 5.750192, compared to 6.091024
Distance Squared = 3.308827, compared to 6.091024
Distance Squared = 4.562561, compared to 6.091024
Distance Squared = 1.507315, compared to 6.091024
Distance Squared = 1.445928, compared to 6.091024
Distance Squared = 4.401491, compared to 6.091024
Distance Squared = 0.210316, compared to 6.091024
Distance Squared = 5.946351, compared to 6.091024
Distance Squared = 5.835369, compared to 6.091024
Distance Squared = 3.204790, compared to 6.091024
Distance Squared = 2.316559, compared to 6.091024
Distance Squared = 0.922733, compared to 6.091024
Distance Squared = 5.784531, compared to 6.091024
Distance Squared = 4.579889, compared to 6.091024
Distance Squared = 4.262135, compared to 6.091024
Distance Squared = 2.740994, compared to 6.091024
Distance Squared = 3.703738, compared to 6.091024
Distance Squared = 2.325596, compared to 6.091024
Distance Squared = 1.931795, compared to 6.091024
Distance Squared = 1.979860, compared to 6.091024
Distance Squared = 0.410009, compared to 6.091024
Distance Squared = 0.837965, compared to 6.091024
Distance Squared = 4.217246, compared to 6.091024
